Date,Time,RunNumber,PedestalRunNumber,AliNEvents,Rotation,Rotation Sensor,Rotation Stage,Bias Volt,Run Type,Config file,Sensor Temp.,Air Temp.,Air Humid.,Cu Plate Temp.,TelescopeRunNumber,TelNEvents,Rate (Hz),BeamEnergy,Config file,MagneticField,Current on Power supply,I-Coil,GearFileName,Comments
11/06/13,17:16:00,2018,002018,20,0,,,-400,ped,CCE_Ped_v3.ini,-21.17,2.52,7.69,-67.55,-,-,-,-,-,0,0,0,gear-TB5-B050,-
11/06/13,18:17:00,2021,002021,20,0,,,-500,ped,CCE_Ped_v3.ini,-21.12,2.67,7.66,-88.85,-,-,-,-,-,0,0,0,gear-TB5-B025,-
11/06/13,18:23:00,2026,002026,20,0,,,-600,ped,CCE_Ped_v3.ini,-21.08,2.81,7.67,-123.71,-,-,-,-,-,0,0,0,gear-TB5-B025,-
11/06/13,20:43:00,2030,002030,20,-20,,,-500,ped,LAM_Ped_v3.ini,-20.9,-2.02,6.47,-92.23,-,-,-,-,-,0,0,0,gear-TB5-B025,-
11/07/13,7:03:00,2047,002047,20,0,,,-500,ped,LAM_Ped_v3.ini,-20.43,-2.16,6.69,-96,-,-,-,-,-,0,0,0,gear-TB5-B100,-
11/07/13,20:03:00,2068,002068,20,20,,,-500,ped,LAM_Ped_v3.ini,-23.77,-3.79,5.24,-61.7,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/07/13,20:50:00,2072,002072,20,0,,,-700,ped,CCE_Ped_v3.ini,-23.6,-3.46,5.17,-108.8,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/07/13,22:51:00,2079,002079,20,-20,,,-500,ped,LAM_Ped_v3.ini,-23.94,2.42,6.73,-59.6,-,-,-,-,-,1,441,438,gear-TB5-B075,-
11/08/13,8:40:00,2097,002097,20,0,,,-500,ped,LAM_Ped_v3.ini,-23.69,1.79,7.28,-61.1,-,-,-,-,-,1,441,438,gear-TB5-B050,-
11/08/13,16:50:00,2112,002112,20,20,,,-500,ped,LAM_Ped_v3.ini,-23.32,1.77,7.48,-63.6,-,-,-,-,-,1,441,438,gear-TB5-B050,-
11/08/13,16:59:00,2115,002115,20,20,,,-500,ped,LAM_Ped_v3.ini,-23.31,1.9,7.49,-64.9,-,-,-,-,-,0.75,330.75,328.5,gear-TB5-B050,-
11/09/13,2:06:00,2132,002132,20,0,,,-500,ped,LAM_Ped_v3.ini,-23.43,2.1,10.28,-63.5,-,-,-,-,-,0.75,330.75,328.5,gear-TB5-B025,-
