DutNum;RunNum;DutID;Bias;Irrad;
0;538;7;-550;0;
0;543;6;-500;0;
0;543;7;-500;0;
0;546;6;-450;0;
0;546;7;-450;0;
0;550;6;-400;0;
0;550;7;-400;0;
0;554;6;-400;0;
0;554;7;-400;0;
0;557;6;-350;0;
0;557;7;-350;0;
0;562;6;-300;0;
0;562;7;-300;0;
0;567;6;-250;0;
0;567;7;-250;0;
0;570;6;-200;0;
0;570;7;-200;0;
0;575;6;-150;0;
0;575;7;-150;0;
0;578;6;-100;0;
0;578;7;-100;0;
0;583;6;-50;0;
0;583;7;-50;0;
0;585;6;-500;0;
0;585;7;-500;0;
0;602;6;-500;0;
0;602;7;-500;0;
0;626;6;-500;0;
0;626;7;-500;0;
0;629;6;-500;0;
0;629;7;-500;0;
0;645;6;-500;0;
0;645;7;-500;0;
0;661;6;-500;0;
0;661;7;-500;0;
0;668;6;-150;0;
0;668;7;-150;0;
0;677;6;-500;0;
0;677;7;-500;0;
0;698;6;-500;0;
0;698;7;-500;0;
0;716;6;-500;0;
0;716;7;-500;0;
0;719;6;-500;0;
0;719;7;-500;0;
0;736;6;-500;0;
0;736;7;-500;0;
0;750;6;-500;0;
0;750;7;-500;0;
0;753;6;-500;0;
0;753;7;-500;0;
0;771;6;-500;0;
0;771;7;-500;0;
0;788;6;-500;0;
0;788;7;-500;0;
1;1001;6;-100;5e14;
1;1001;7;-100;1e15;
1;1006;6;-200;5e14;
1;1006;7;-200;1e15;
1;1011;6;-300;5e14;
1;1011;7;-300;1e15;
1;1015;6;-300;5e14;
1;1015;7;-300;1e15;
1;1017;6;-400;5e14;
1;1017;7;-400;1e15;
1;1021;6;-500;5e14;
1;1021;7;-500;1e15;
1;1025;6;-600;5e14;
1;1025;7;-600;1e15;
1;1029;6;-700;5e14;
1;1029;7;-700;1e15;
1;1033;6;-800;5e14;
1;1033;7;-800;1e15;
1;1042;6;-900;5e14;
1;1042;7;-900;1e15;
1;1050;6;-1000;5e14;
1;1050;7;-1000;1e15;
1;1054;6;-500;5e14;
1;1054;7;-500;1e15;
1;1058;6;-500;5e14;
1;1058;7;-500;1e15;
1;1072;6;-500;5e14;
1;1072;7;-500;1e15;
1;1093;6;-500;5e14;
1;1093;7;-500;1e15;
1;1099;6;-500;5e14;
1;1099;7;-500;1e15;
1;1112;6;-500;5e14;
1;1112;7;-500;1e15;
1;1125;6;-500;5e14;
1;1125;7;-500;1e15;
1;1140;6;-500;5e14;
1;1140;7;-500;1e15;
1;1144;6;-500;5e14;
1;1144;7;-500;1e15;
1;1162;6;-500;5e14;
1;1162;7;-500;1e15;
