DutNum;RunNum;DutID;Irrad;Rotation;RotationSensor;RotationStage;NegRotation;BiasVolt;SensorTemp;BeamEnergy;B;CalculatedB;Current on Power supply;
1;1188;6;5E+14;-12;;;12;-500;-22.33;4.4;0.5;0.512066468;220.66;
1;1188;7;1E+15;-12;;;12;-500;-22.33;4.4;0.5;0.512066468;220.66;
1;1189;6;5E+14;-10;;;10;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1189;7;1E+15;-10;;;10;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1190;6;5E+14;-8;;;8;-500;-22.3;4.4;0.5;0.512066468;220.66;
1;1190;7;1E+15;-8;;;8;-500;-22.3;4.4;0.5;0.512066468;220.66;
1;1191;6;5E+14;-7;;;7;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1191;7;1E+15;-7;;;7;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1192;6;5E+14;-6;;;6;-500;-22.19;4.4;0.5;0.512066468;220.66;
1;1192;7;1E+15;-6;;;6;-500;-22.19;4.4;0.5;0.512066468;220.66;
1;1194;6;5E+14;-5;;;5;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1194;7;1E+15;-5;;;5;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1195;6;5E+14;-4;;;4;-500;-22.25;4.4;0.5;0.512066468;220.66;
1;1195;7;1E+15;-4;;;4;-500;-22.25;4.4;0.5;0.512066468;220.66;
1;1196;6;5E+14;-3;;;3;-500;-22.19;4.4;0.5;0.512066468;220.66;
1;1196;7;1E+15;-3;;;3;-500;-22.19;4.4;0.5;0.512066468;220.66;
1;1197;6;5E+14;-2;;;2;-500;-22.29;4.4;0.5;0.512066468;220.66;
1;1197;7;1E+15;-2;;;2;-500;-22.29;4.4;0.5;0.512066468;220.66;
1;1198;6;5E+14;-1;;;1;-500;-22.28;4.4;0.5;0.512066468;220.66;
1;1198;7;1E+15;-1;;;1;-500;-22.28;4.4;0.5;0.512066468;220.66;
1;1199;6;5E+14;0;;;0;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1199;7;1E+15;0;;;0;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1205;6;5E+14;1;;;-1;-500;-22.25;4.4;0.5;0.512066468;220.66;
