Date,Time,RunNumber,PedestalRunNumber,EventIDDiff,SkipEvents,AliNEvents,Rotation,Rotation Sensor,Rotation Stage,Bias Volt,Config file,Sensor Temp.,Air Temp.,Air Humid.,Cu Plate Temp.,TelescopeRunNumber,TelNEvents,Rate (Hz),BeamEnergy,Config file,MagneticField,Current on Power supply,I-Coil,GearFileName,Comments
13/11/2013,16:22:00,3028,003025,0,,300,0,,,-700,CCE_v4.ini,-24.18,1,7.28,,001649,300,218,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,15:55:00,3024,003021,0,,300,0,,,-800,CCE_v4.ini,-24.13,1.03,7.29,,001648,300,222,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,15:17:00,3020,003017,0,,300,0,,,-900,CCE_v4.ini,-24.15,1.17,7.33,,001647,300,161,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,14:48:00,3016,003015,0,,300,0,,,-1000,CCE_v4.ini,-24.18,2.08,7.87,,001646,300,,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
8.2.14,5:59,5064,005063,0,,300,0,0.13,0.5,-100,CCE.ini,-26.92,0.52,7.33,,002014,300,,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,5:26,5057,005058,-1,,300,0,0.12,0.5,-200,CCE.ini,-26.93,0.51,7.36,,002012,300,208,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,5:01,5056,005054,-1,,300,0,0.17,0.5,-300,CCE.ini,-26.93,0.47,7.37,,002011,300,209,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,4:24,5048,005049,-1,,300,0,0.18,0.5,-400,CCE.ini,-26.94,0.5,7.36,,002009,300,210,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,1:07,5024,005025,-1,,400,0,0.11,0.5,-500,LAM.ini,-26.86,0.59,7.4,,002003,400,195,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,1:52,5031,005030,-1,,300,0,0.17,0.5,-600,CCE.ini,-26.86,0.58,7.38,,002004,300,197,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,2:23,5032,005033,-1,,300,0,0.18,0.5,-700,CCE.ini,-26.87,0.59,7.38,,002005,300,203,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,3:03,5039,005038,-1,,300,0,0.17,0.5,-800,CCE.ini,-26.86,0.58,7.36,,002006,300,208,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,3:28,5040,005041,-1,,300,0,0.18,0.5,-900,CCE.ini,-26.89,0.56,7.36,,002007,300,209,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
8.2.14,3:59,5047,005046,-1,,300,0,0.13,0.5,-1000,CCE.ini,-26.89,0.54,7.36,,002008,300,209,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
14.2.14,23:56,6004,006001,0,,300,0,-0.1,0,-100,CCE.ini,-25.2,1.71,7,,002287,300,207,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,0:20,6005,006006,0,,300,0,-0.09,0,-200,CCE.ini,-25.61,1.47,7.12,,002288,300,191,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,1:17,6012,006011,0,,300,0,-0.08,0,-300,CCE.ini,-25.92,0.89,7.17,,002289,300,216,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,1:18,6013,006014,0,,300,0,-0.09,0,-400,CCE.ini,-25.93,0.98,7.17,,002290,300,213,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,1:50,6020,006019,0,,300,0,-0.15,0,-500,CCE.ini,-25.97,0.96,7.16,,002291,300,215,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,2:14,6021,006022,0,,300,0,,0,-600,CCE.ini,-26.02,0.89,7.16,,002292,300,209,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,2:44,6028,006027,0,,300,0,-0.13,0,-700,CCE.ini,-26.02,0.96,7.14,,002293,300,213,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,3:08,6029,006030,0,,300,0,-0.09,0,-800,CCE.ini,-26.02,0.91,7.14,,002294,300,214,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,3:55,6036,006035,0,,300,0,-0.13,0,-900,CCE.ini,-26.04,0.9,7.11,,002295,300,212,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
15.2.14,4:03,6037,006038,0,,300,0,-0.09,0,-1000,CCE.ini,-26.04,0.91,7.14,,002296,300,-,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
7.2.14,0:37:00,4197,004198,0,,400,0,-0.16,0,-500,LAM.ini,-25.84,1.16,5.98,-29.4,001970,400,212,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB6-B000,-
